Genero,Trabalho,Habitação,Conta_poupança,Conta_corrente,Finalidade,Risco,Faixa_Etaria,Faixa_Duracao,Faixa_Credito,idade_trabalho,credito_habitacao,conta_status
male,2,own,little,little,radio/TV,1,59-68,4-15,250-1249,59-68_2,250-1249_own,little_little
female,2,own,little,moderate,radio/TV,0,19-28,40-51,5250-6249,19-28_2,5250-6249_own,moderate_little
male,1,own,little,little,education,1,39-48,4-15,1250-2249,39-48_1,1250-2249_own,little_little
male,2,free,little,little,furniture/equipment,1,39-48,40-51,7250-8249,39-48_2,7250-8249_free,little_little
male,2,free,little,little,car,0,49-58,16-27,4250-5249,49-58_2,4250-5249_free,little_little
male,1,free,little,little,education,1,29-38,28-39,8250-9249,29-38_1,8250-9249_free,little_little
male,2,own,rich,little,furniture/equipment,1,49-58,16-27,2250-3249,49-58_2,2250-3249_own,little_rich
male,3,rent,little,moderate,car,1,29-38,28-39,6250-7249,29-38_3,6250-7249_rent,moderate_little
male,1,own,rich,little,radio/TV,1,59-68,4-15,2250-3249,59-68_1,2250-3249_own,little_rich
male,3,own,little,moderate,car,0,19-28,28-39,4250-5249,19-28_3,4250-5249_own,moderate_little
female,2,rent,little,moderate,car,0,19-28,4-15,1250-2249,19-28_2,1250-2249_rent,moderate_little
female,2,rent,little,little,business,0,19-28,40-51,4250-5249,19-28_2,4250-5249_rent,little_little
female,2,own,little,moderate,radio/TV,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,moderate_little
male,1,own,little,little,car,0,59-68,16-27,250-1249,59-68_1,250-1249_own,little_little
female,2,rent,little,little,car,1,19-28,4-15,1250-2249,19-28_2,1250-2249_rent,little_little
female,1,own,moderate,little,radio/TV,0,29-38,16-27,1250-2249,29-38_1,1250-2249_own,little_moderate
male,2,own,little,little,radio/TV,1,49-58,16-27,2250-3249,49-58_2,2250-3249_own,little_little
male,2,own,little,little,business,1,19-28,28-39,7250-8249,19-28_2,7250-8249_own,little_little
female,3,free,little,moderate,car,0,39-48,16-27,12250-13249,39-48_3,12250-13249_free,moderate_little
male,2,own,rich,little,radio/TV,1,29-38,16-27,3250-4249,29-38_2,3250-4249_own,little_rich
male,2,own,little,little,car,1,39-48,4-15,1250-2249,39-48_2,1250-2249_own,little_little
male,2,rent,rich,little,radio/TV,1,39-48,4-15,2250-3249,39-48_2,2250-3249_rent,little_rich
male,1,rent,little,little,car,1,39-48,4-15,1250-2249,39-48_1,1250-2249_rent,little_little
male,2,own,moderate,moderate,car,1,39-48,4-15,1250-2249,39-48_2,1250-2249_own,moderate_moderate
male,2,own,little,little,furniture/equipment,1,19-28,4-15,1250-2249,19-28_2,1250-2249_own,little_little
male,1,own,little,little,furniture/equipment,1,29-38,4-15,1250-2249,29-38_1,1250-2249_own,little_little
male,1,own,little,little,radio/TV,1,29-38,4-15,250-1249,29-38_1,250-1249_own,little_little
female,2,rent,rich,rich,radio/TV,1,39-48,4-15,250-1249,39-48_2,250-1249_rent,rich_rich
male,2,own,little,moderate,radio/TV,1,29-38,4-15,2250-3249,29-38_2,2250-3249_own,moderate_little
male,2,own,little,little,business,0,59-68,52-63,6250-7249,59-68_2,6250-7249_own,little_little
male,2,own,rich,moderate,business,1,29-38,16-27,1250-2249,29-38_2,1250-2249_own,moderate_rich
male,2,own,little,little,furniture/equipment,1,19-28,16-27,3250-4249,19-28_2,3250-4249_own,little_little
male,2,own,moderate,moderate,car,1,29-38,16-27,5250-6249,29-38_2,5250-6249_own,moderate_moderate
male,1,rent,little,little,business,1,49-58,4-15,1250-2249,49-58_1,1250-2249_rent,little_little
female,3,own,little,rich,furniture/equipment,1,29-38,4-15,1250-2249,29-38_3,1250-2249_own,rich_little
male,1,own,little,moderate,radio/TV,0,19-28,40-51,4250-5249,19-28_1,4250-5249_own,moderate_little
male,2,free,little,little,education,1,29-38,40-51,5250-6249,29-38_2,5250-6249_free,little_little
male,2,own,little,rich,radio/TV,0,29-38,16-27,1250-2249,29-38_2,1250-2249_own,rich_little
male,2,own,little,rich,domestic appliances,1,29-38,4-15,250-1249,29-38_2,250-1249_own,rich_little
male,2,own,little,moderate,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_little
male,3,own,rich,little,radio/TV,1,29-38,28-39,2250-3249,29-38_3,2250-3249_own,little_rich
male,2,own,rich,moderate,radio/TV,1,19-28,4-15,250-1249,19-28_2,250-1249_own,moderate_rich
