Unnamed: 0,Idade,Genero,Trabalho,Habitacao,Conta_poupanca,Conta_corrente,Valor_credito,Duracao,Finalidade,y_true,y_pred,prob
80,44,female,2,own,little,little,5943,24,radio/TV,0,1,0.5905635530803504
157,45,male,1,own,little,little,339,12,education,1,1,0.5208452981261614
65,48,male,2,own,little,little,5190,27,repairs,1,1,0.5208452981261614
489,26,male,2,rent,little,little,3518,6,car,1,0,0.4702666064853693
804,24,female,0,rent,little,moderate,7472,12,car,1,0,0.24115031965709313
696,29,male,2,own,little,moderate,1103,12,radio/TV,1,1,0.5383417523890773
122,24,male,1,rent,little,little,1768,12,furniture/equipment,1,0,0.4702666064853693
528,31,male,2,rent,little,little,2302,36,radio/TV,0,1,0.6390245892580063
92,33,female,1,own,little,little,797,12,radio/TV,0,1,0.5905635530803504
320,28,male,3,own,little,moderate,4249,30,car,0,0,0.3689931897187437
244,35,female,1,own,rich,little,3447,12,education,1,1,0.7596861212524078
352,38,male,3,own,little,little,3229,18,car,1,1,0.5208452981261614
480,23,female,1,own,little,moderate,3573,12,radio/TV,1,0,0.43691978949128984
56,52,male,3,own,little,moderate,6468,12,radio/TV,0,1,0.5383417523890773
572,26,female,3,rent,little,little,5433,24,car,1,0,0.37135336907794547
212,50,male,2,own,little,little,5293,27,business,0,1,0.5208452981261614
977,42,male,2,own,little,moderate,2427,18,business,1,0,0.3689931897187437
985,25,female,2,rent,little,little,1433,15,furniture/equipment,1,0,0.37135336907794547
810,26,male,2,own,little,moderate,907,8,business,1,0,0.3689931897187437
596,23,female,2,rent,little,little,1442,24,car,0,0,0.37135336907794547
732,44,female,1,own,little,moderate,760,8,radio/TV,1,0,0.43691978949128984
866,27,female,2,own,little,little,2389,18,radio/TV,1,1,0.5905635530803504
301,42,female,2,own,little,moderate,3804,36,radio/TV,0,0,0.43691978949128984
588,47,male,1,own,little,little,1217,18,domestic appliances,0,1,0.5208452981261614
87,47,male,2,free,moderate,moderate,12612,36,education,0,0,0.3140431201239679
694,28,male,2,own,little,little,2284,24,radio/TV,1,1,0.6843070618572797
310,40,male,0,free,little,moderate,5381,48,vacation/others,1,0,0.24968856834758912
495,20,male,2,own,little,little,2996,24,furniture/equipment,0,1,0.5208452981261614
138,35,male,2,own,little,moderate,2728,15,radio/TV,1,1,0.5383417523890773
449,61,male,2,own,rich,moderate,1512,15,repairs,0,1,0.7187627240977423
154,36,male,3,rent,moderate,moderate,6967,24,business,1,0,0.39650416231209096
60,27,male,2,own,little,moderate,1391,9,business,1,0,0.3689931897187437
971,43,male,1,own,little,little,7393,24,car,1,1,0.5208452981261614
